sample_id,tissue,condition,age,Diet,Experiment,file_origin,adipose.processed
Set2_BAT-1,BAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-1 MitoFat chow_Unmixed.fcs,0.09
Set2_BAT-2,BAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-2 MitoFat chow_Unmixed.fcs,0.091
Set2_BAT-3,BAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-3 MitoFat HFD_Unmixed.fcs,0.145
Set2_BAT-4,BAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-4 MitoFat HFD_Unmixed.fcs,0.139
Set2_BAT-5,BAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-5 MitoFat LP-HFD_Unmixed.fcs,0.127
Set2_BAT-6,BAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-6 MitoFat LP-HFD_Unmixed.fcs,0.08
Set2_BAT-7,BAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-7 MitoFat LP-HFD_Unmixed.fcs,0.084
Set2_BAT-8,BAT,Cre,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-8 Cre- HFD_Unmixed.fcs,0.157
Set2_BAT-10,BAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-10 MitoFat chow_Unmixed.fcs,0.088
Set2_BAT-11,BAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-11 MitoFat LP-HFD_Unmixed.fcs,0.117
Set2_BAT-12,BAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-12 MitoFat LP-HFD_Unmixed.fcs,0.1
Set2_BAT-13,BAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-13 MitoFat LP-HFD_Unmixed.fcs,0.112
Set2_BAT-14,BAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-14 MitoFat HFD_Unmixed.fcs,0.214
Set2_BAT-15,BAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-15 MitoFat HFD_Unmixed.fcs,0.219
Set2_BAT-16,BAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-BAT-16 MitoFat HFD_Unmixed.fcs,0.16
Set2_eWAT-1,eWAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-1 MitoFat chow_Unmixed.fcs,0.771
Set2_eWAT-2,eWAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-2 MitoFat chow_Unmixed.fcs,0.424
Set2_eWAT-3,eWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-3 MitoFat HFD_Unmixed.fcs,0.366
Set2_eWAT-4,eWAT,MitoFat,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-4 MitoFat HFD_Unmixed.fcs,0.355
Set2_eWAT-5,eWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-5 MitoFat LP-HFD_Unmixed.fcs,0.423
Set2_eWAT-6,eWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-6 MitoFat LP-HFD_Unmixed.fcs,0.443
Set2_eWAT-7,eWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-7 MitoFat LP-HFD_Unmixed.fcs,0.401
Set2_eWAT-8,eWAT,Cre,5mo,HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-8 Cre- HFD_Unmixed.fcs,0.451
Set2_eWAT-10,eWAT,MitoFat,5mo,chow,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-10 MitoFat chow_Unmixed.fcs,0.448
Set2_eWAT-11,eWAT,MitoFat,5mo,LP-HFD,Set2,2021-02-09 MitoFat chow HFD LP-HFD-eWAT-11 MitoFat LP-HFD_Unmixed.fcs,0.366
